symbol,sector
APOP,biotechnology
APTO,biotechnology
APVO,biotechnology
AQB,biotechnology
ARAV,biotechnology
ARDX,biotechnology
ARMP,biotechnology
ARNA,biotechnology
ARVN,biotechnology
ARWR,biotechnology
ASLN,biotechnology
ASND,biotechnology
ATHE,biotechnology
ATHX,biotechnology
ATNM,biotechnology
ATRA,biotechnology
AUPH,biotechnology
AUTL,biotechnology
AVCO,biotechnology
AVEO,biotechnology
AVRO,biotechnology
AVXL,biotechnology
AXGT,biotechnology
AXLA,biotechnology
AZRX,biotechnology
BCDA,biotechnology
BCLI,biotechnology
BCRX,biotechnology
BCYC,biotechnology
BDTX,biotechnology
BEAM,biotechnology
BFRA,biotechnology
BGNE,biotechnology
BIIB,biotechnology
BLCM,biotechnology
BLU,biotechnology
BLUE,biotechnology
BMRN,biotechnology
BNGO,biotechnology
BNTC,biotechnology
BNTX,biotechnology
BPMC,biotechnology
BPTH,biotechnology
BTAI,biotechnology
CABA,biotechnology
CALA,biotechnology
CANF,biotechnology
CAPR,biotechnology
CARA,biotechnology
CASI,biotechnology
CATB,biotechnology
CBAY,biotechnology
CBIO,biotechnology
CBLI,biotechnology
CBMG,biotechnology
CBPO,biotechnology
CCXI,biotechnology
CDMO,biotechnology
CDTX,biotechnology
CFRX,biotechnology
CGEN,biotechnology
CHMA,biotechnology
CHRS,biotechnology
CLLS,biotechnology
CLRB,biotechnology
CLVS,biotechnology
CMRX,biotechnology
CNAT,biotechnology
CNCE,biotechnology
CODX,biotechnology
CORV,biotechnology
CRBP,biotechnology
CRIS,biotechnology
CRSP,biotechnology
CRTX,biotechnology
CSBR,biotechnology
CTMX,biotechnology
CUE,biotechnology
CVM,biotechnology
CWBR,biotechnology
CYAD,biotechnology
CYCC,biotechnology
CYTK,biotechnology
DBVT,biotechnology
DCPH,biotechnology
DFFN,biotechnology
DMAC,biotechnology
DNLI,biotechnology
DRNA,biotechnology
DTIL,biotechnology
DVAX,biotechnology
DYAI,biotechnology
EARS,biotechnology
EBS,biotechnology
EDAP,biotechnology
EDIT,biotechnology
EIDX,biotechnology
EIGR,biotechnology
ELOX,biotechnology
ENTA,biotechnology
ENZ,biotechnology
EPZM,biotechnology
EQ,biotechnology
ERYP,biotechnology
ESPR,biotechnology
ETTX,biotechnology
EVFM,biotechnology
EVGN,biotechnology
EXAS,biotechnology
EXEL,biotechnology
FATE,biotechnology
FBIO,biotechnology
FENC,biotechnology
FGEN,biotechnology
FIXX,biotechnology
FLXN,biotechnology
FOLD,biotechnology
BBGI,broadcasting
CETV,broadcasting
CMLS,broadcasting
EMMS,broadcasting
ETM,broadcasting
EVC,broadcasting
FENG,broadcasting
FOX,broadcasting
FOXA,broadcasting
GTN,broadcasting
GTN.,broadcasting
HMTV,broadcasting
IHRT,broadcasting
MDIA,broadcasting
NTN,broadcasting
NXST,broadcasting
SALM,broadcasting
SBGI,broadcasting
SGA,broadcasting
SIRI,broadcasting
SONG,broadcasting
SSP,broadcasting
TGNA,broadcasting
TSQ,broadcasting
TV,broadcasting
UONE,broadcasting
VIAC,broadcasting
AFI,building-products
ALLE,building-products
AMWD,building-products
AOS,building-products
APOG,building-products
AWI,building-products
BLD,building-products
BLDR,building-products
BMCH,building-products
CCCL,building-products
CNR,building-products
CUO,building-products
DOOR,building-products
FBHS,building-products
GFF,building-products
LII,building-products
LYTS,building-products
MAS,building-products
NSSC,building-products
NX,building-products
PFIE,building-products
PGTI,building-products
PLPC,building-products
SSD,building-products
TGLS,building-products
TILE,building-products
WSO,building-products
WSO.,building-products
AMCX,cable-satellite-tv
ATUS,cable-satellite-tv
CABO,cable-satellite-tv
CHTR,cable-satellite-tv
CMCS,cable-satellite-tv
DISC,cable-satellite-tv
DISH,cable-satellite-tv
LBRD,cable-satellite-tv
LBTY,cable-satellite-tv
LILA,cable-satellite-tv
NFLX,cable-satellite-tv
SJR,cable-satellite-tv
BYD,casinos-gaming
CHDN,casinos-gaming
CNTY,casinos-gaming
CPHC,casinos-gaming
CZR,casinos-gaming
ERI,casinos-gaming
EVRI,casinos-gaming
FLL,casinos-gaming
GDEN,casinos-gaming
GRVY,casinos-gaming
IGT,casinos-gaming
LVS,casinos-gaming
MGM,casinos-gaming
MLCO,casinos-gaming
MSC,casinos-gaming
NWGI,casinos-gaming
PENN,casinos-gaming
SGMS,casinos-gaming
TRWH,casinos-gaming
TSG,casinos-gaming
WYNN,casinos-gaming
ARTL,catalog-specialty-distribution
ATV,catalog-specialty-distribution
BZUN,catalog-specialty-distribution
YJ,catalog-specialty-distribution
AGFS,chemicals-agricultural
AVD,chemicals-agricultural
CF,chemicals-agricultural
CGA,chemicals-agricultural
CTVA,chemicals-agricultural
FMC,chemicals-agricultural
ICL,chemicals-agricultural
LAC,chemicals-agricultural
LXU,chemicals-agricultural
MBII,chemicals-agricultural
MOS,chemicals-agricultural
NTR,chemicals-agricultural
ODC,chemicals-agricultural
PLL,chemicals-agricultural
RKDA,chemicals-agricultural
SMG,chemicals-agricultural
SQM,chemicals-agricultural
UAN,chemicals-agricultural
YTEN,chemicals-agricultural
CE,chemicals-major-diversified
DD,chemicals-major-diversified
EMN,chemicals-major-diversified
ESI,chemicals-major-diversified
FSI,chemicals-major-diversified
HUN,chemicals-major-diversified
IKNX,chemicals-major-diversified
NGVT,chemicals-major-diversified
VVV,chemicals-major-diversified
WLK,chemicals-major-diversified
ALB,chemicals-specialty
AMRS,chemicals-specialty
AMTX,chemicals-specialty
APD,chemicals-specialty
ASH,chemicals-specialty
ASIX,chemicals-specialty
AVTR,chemicals-specialty
BAK,chemicals-specialty
BCPC,chemicals-specialty
CDXC,chemicals-specialty
CDXS,chemicals-specialty
CMP,chemicals-specialty
DOW,chemicals-specialty
DQ,chemicals-specialty
DSWL,chemicals-specialty
ECL,chemicals-specialty
FF,chemicals-specialty
FFHL,chemicals-specialty
GEVO,chemicals-specialty
GPRE,chemicals-specialty
GRA,chemicals-specialty
GURE,chemicals-specialty
IOSP,chemicals-specialty
KOP,chemicals-specialty
KRO,chemicals-specialty
KWR,chemicals-specialty
LIN,chemicals-specialty
LOOP,chemicals-specialty
LTHM,chemicals-specialty
LYB,chemicals-specialty
MEOH,chemicals-specialty
MTX,chemicals-specialty
MYT,chemicals-specialty
NEU,chemicals-specialty
OEC,chemicals-specialty
PEIX,chemicals-specialty
POL,chemicals-specialty
PQG,chemicals-specialty
REGI,chemicals-specialty
REX,chemicals-specialty
ROG,chemicals-specialty
RYAM,chemicals-specialty
SCL,chemicals-specialty
SHI,chemicals-specialty
SSL,chemicals-specialty
TANH,chemicals-specialty
TROX,chemicals-specialty
VHI,chemicals-specialty
VNTR,chemicals-specialty
WLKP,chemicals-specialty
ARCH,coal
AREC,coal
ARLP,coal
BTU,coal
CCR,coal
CEIX,coal
CTRA,coal
HCC,coal
HNRG,coal
METC,coal
NC,coal
NRP,coal
SES,coal
SXC,coal
ARC,commercial-printing-forms
CMPR,commercial-printing-forms
DLX,commercial-printing-forms
DSS,commercial-printing-forms
EBF,commercial-printing-forms
LIVX,commercial-printing-forms
MTA,commercial-printing-forms
QUAD,commercial-printing-forms
RRD,commercial-printing-forms
AAOI,computer-communications
ACIA,computer-communications
ALLT,computer-communications
ANET,computer-communications
FFIV,computer-communications
FTNT,computer-communications
ITI,computer-communications
OBLG,computer-communications
PANW,computer-communications
RDWR,computer-communications
SILC,computer-communications
SMCI,computer-communications
UUU,computer-communications
VCRA,computer-communications
ALOT,computer-peripherals
DGII,computer-peripherals
EXTR,computer-peripherals
IMMR,computer-peripherals
LOGI,computer-peripherals
NTAP,computer-peripherals
PSTG,computer-peripherals
QMCO,computer-peripherals
QUMU,computer-peripherals
SCKT,computer-peripherals
SSYS,computer-peripherals
STX,computer-peripherals
TACT,computer-peripherals
WDC,computer-peripherals
XRX,computer-peripherals
ZBRA,computer-peripherals
CTS,computer-processing-hardware
DELL,computer-processing-hardware
HPE,computer-processing-hardware
HPQ,computer-processing-hardware
NCR,computer-processing-hardware
OSS,computer-processing-hardware
TDC,computer-processing-hardware
CPAC,construction-materials
CRH,construction-materials
CVIA,construction-materials
CX,construction-materials
EXP,construction-materials
FRTA,construction-materials
HHT,construction-materials
JHX,construction-materials
LOMA,construction-materials
MLM,construction-materials
SND,construction-materials
SUM,construction-materials
USCR,construction-materials
USLM,construction-materials
VMC,construction-materials
CENT,consumer-sundries
DOGZ,consumer-sundries
AMCR,containers-packaging
ARD,containers-packaging
ATR,containers-packaging
AVY,containers-packaging
BERY,containers-packaging
BLL,containers-packaging
CCK,containers-packaging
GEF,containers-packaging
GEF.,containers-packaging
GPK,containers-packaging
IP,containers-packaging
MYE,containers-packaging
OI,containers-packaging
PKG,containers-packaging
SEE,containers-packaging
SLGN,containers-packaging
SON,containers-packaging
UFPT,containers-packaging
WRK,containers-packaging
BORR,contract-drilling
DO,contract-drilling
HP,contract-drilling
ICD,contract-drilling
NBR,contract-drilling
NE,contract-drilling
PACD,contract-drilling
PDS,contract-drilling
PTEN,contract-drilling
QES,contract-drilling
RIG,contract-drilling
SDRL,contract-drilling
VAL,contract-drilling
ADP,data-processing-services
ADS,data-processing-services
AMRH,data-processing-services
BCOR,data-processing-services
CASS,data-processing-services
CCRC,data-processing-services
CLGX,data-processing-services
CSGS,data-processing-services
CSLT,data-processing-services
DBX,data-processing-services
DWSN,data-processing-services
DXC,data-processing-services
EEFT,data-processing-services
EVTC,data-processing-services
EXLS,data-processing-services
FIS,data-processing-services
FISV,data-processing-services
FLNT,data-processing-services
FVRR,data-processing-services
GPN,data-processing-services
INOD,data-processing-services
INOV,data-processing-services
ISDR,data-processing-services
KERN,data-processing-services
MOXC,data-processing-services
MRIN,data-processing-services
NH,data-processing-services
OPRX,data-processing-services
PAYX,data-processing-services
PCYG,data-processing-services
PFPT,data-processing-services
PYPL,data-processing-services
QIWI,data-processing-services
RAMP,data-processing-services
TRHC,data-processing-services
TYL,data-processing-services
WEX,data-processing-services
WYY,data-processing-services
YEXT,data-processing-services
ZEN,data-processing-services
ZIXI,data-processing-services
DDS,department-stores
JCP,department-stores
KSS,department-stores
M  M,department-stores
OLLI,department-stores
BIG,discount-stores
DG,discount-stores
DLTR,discount-stores
FIVE,discount-stores
PSMT,discount-stores
CJJD,drugstore-chains
CVS,drugstore-chains
PETS,drugstore-chains
RAD,drugstore-chains
WBA,drugstore-chains
YI,drugstore-chains
AEE,electric-utilities
AEP,electric-utilities
AES,electric-utilities
AGR,electric-utilities
ALE,electric-utilities
AQN,electric-utilities
AT,electric-utilities
AVA,electric-utilities
BEP,electric-utilities
BKH,electric-utilities
BWXT,electric-utilities
CEPU,electric-utilities
CIG,electric-utilities
CIG.,electric-utilities
CMS,electric-utilities
CMSA,electric-utilities
CMSC,electric-utilities
CNP,electric-utilities
CWEN,electric-utilities
D  D,electric-utilities
DCUE,electric-utilities
DRUA,electric-utilities
DTE,electric-utilities
DTJ,electric-utilities
DTP,electric-utilities
DTW,electric-utilities
DTY,electric-utilities
DUK,electric-utilities
DUKB,electric-utilities
DUKH,electric-utilities
EAI,electric-utilities
EBR,electric-utilities
EBR.,electric-utilities
ED,electric-utilities
EDN,electric-utilities
EE,electric-utilities
EIX,electric-utilities
ELC,electric-utilities
ELP,electric-utilities
ELU,electric-utilities
EMP,electric-utilities
ENIA,electric-utilities
ENIC,electric-utilities
ENJ,electric-utilities
ENO,electric-utilities
ES,electric-utilities
ETR,electric-utilities
EVRG,electric-utilities
EVSI,electric-utilities
EXC,electric-utilities
EZT,electric-utilities
FE,electric-utilities
FTS,electric-utilities
GNE,electric-utilities
GPJA,electric-utilities
HE,electric-utilities
HNP,electric-utilities
IDA,electric-utilities
JE,electric-utilities
KEN,electric-utilities
KEP,electric-utilities
LNT,electric-utilities
MGEE,electric-utilities
NEE,electric-utilities
NGG,electric-utilities
NRG,electric-utilities
NWE,electric-utilities
OGE,electric-utilities
OTTR,electric-utilities
PAM,electric-utilities
PCG,electric-utilities
PEG,electric-utilities
PNM,electric-utilities
PNW,electric-utilities
POR,electric-utilities
PPL,electric-utilities
RUN,electric-utilities
SO,electric-utilities
SOJA,electric-utilities
SOJB,electric-utilities
SOJC,electric-utilities
SOLN,electric-utilities
SPKE,electric-utilities
TAC,electric-utilities
TRNX,electric-utilities
UTL,electric-utilities
VSLR,electric-utilities
VST,electric-utilities
VVPR,electric-utilities
WEC,electric-utilities
XEL,electric-utilities
ABB,electrical-products
AME,electrical-products
AMSC,electrical-products
ATKR,electrical-products
AYI,electrical-products
AZZ,electrical-products
BDC,electrical-products
BE,electrical-products
BLDP,electrical-products
CBAT,electrical-products
CPST,electrical-products
CSIQ,electrical-products
CUI,electrical-products
DPW,electrical-products
EAF,electrical-products
EFOI,electrical-products
EMR,electrical-products
ENS,electrical-products
ERII,electrical-products
ETN,electrical-products
GNRC,electrical-products
HUBB,electrical-products
IPWR,electrical-products
ITGR,electrical-products
JKS,electrical-products
LFUS,electrical-products
LITE,electrical-products
OESX,electrical-products
OPTT,electrical-products
POWL,electrical-products
PPSI,electrical-products
ROK,electrical-products
SEDG,electrical-products
SPLP,electrical-products
SPWR,electrical-products
SUNW,electrical-products
THR,electrical-products
TPIC,electrical-products
ULBI,electrical-products
APH,electronic-components
AVX,electronic-components
BELF,electronic-components
BHE,electronic-components
CAMT,electronic-components
CLS,electronic-components
CREE,electronic-components
ELTK,electronic-components
ESP,electronic-components
FLEX,electronic-components
FSLR,electronic-components
GLW,electronic-components
IEC,electronic-components
JBL,electronic-components
KEM,electronic-components
KN,electronic-components
KTCC,electronic-components
LEDS,electronic-components
LPTH,electronic-components
MEI,electronic-components
NPTN,electronic-components
NSYS,electronic-components
NVT,electronic-components
OLED,electronic-components
PLUG,electronic-components
PLXS,electronic-components
PRCP,electronic-components
RESN,electronic-components
RFIL,electronic-components
SANM,electronic-components
SENS,electronic-components
SGMA,electronic-components
SMTX,electronic-components
TEL,electronic-components
TTMI,electronic-components
VICR,electronic-components
VPG,electronic-components
VSH,electronic-components
AMOT,electronic-equipment-instruments
BW,electronic-equipment-instruments
CAJ,electronic-equipment-instruments
CETX,electronic-equipment-instruments
CGNX,electronic-equipment-instruments
CLIR,electronic-equipment-instruments
CLWT,electronic-equipment-instruments
COHU,electronic-equipment-instruments
CYBE,electronic-equipment-instruments
DAIO,electronic-equipment-instruments
DBD,electronic-equipment-instruments
EMAN,electronic-equipment-instruments
FARO,electronic-equipment-instruments
FCEL,electronic-equipment-instruments
FEIM,electronic-equipment-instruments
FTV,electronic-equipment-instruments
HOLI,electronic-equipment-instruments
IDN,electronic-equipment-instruments
IIVI,electronic-equipment-instruments
ISNS,electronic-equipment-instruments
ITRI,electronic-equipment-instruments
KEYS,electronic-equipment-instruments
KODK,electronic-equipment-instruments
LGL,electronic-equipment-instruments
LUNA,electronic-equipment-instruments
MKSI,electronic-equipment-instruments
MRCY,electronic-equipment-instruments
MTSC,electronic-equipment-instruments
NOVT,electronic-equipment-instruments
NTP,electronic-equipment-instruments
OBAS,electronic-equipment-instruments
PAR,electronic-equipment-instruments
POLA,electronic-equipment-instruments
QBAK,electronic-equipment-instruments
ROP,electronic-equipment-instruments
SEAC,electronic-equipment-instruments
SPCB,electronic-equipment-instruments
ST,electronic-equipment-instruments
TRMB,electronic-equipment-instruments
TRNS,electronic-equipment-instruments
VIAV,electronic-equipment-instruments
VUZI,electronic-equipment-instruments
ACLS,electronic-production-equipment
AEHR,electronic-production-equipment
AEIS,electronic-production-equipment
AXTI,electronic-production-equipment
BRKS,electronic-production-equipment
CVV,electronic-production-equipment
DAKT,electronic-production-equipment
EMKR,electronic-production-equipment
FORM,electronic-production-equipment
IMTE,electronic-production-equipment
INTT,electronic-production-equipment
IVAC,electronic-production-equipment
KLAC,electronic-production-equipment
LPL,electronic-production-equipment
LRCX,electronic-production-equipment
MICT,electronic-production-equipment
MVIS,electronic-production-equipment
NVMI,electronic-production-equipment
ONTO,electronic-production-equipment
PI,electronic-production-equipment
PLAB,electronic-production-equipment
REFR,electronic-production-equipment
RELL,electronic-production-equipment
SGOC,electronic-production-equipment
SONO,electronic-production-equipment
TER,electronic-production-equipment
VECO,electronic-production-equipment
VERT,electronic-production-equipment
VRT,electronic-production-equipment
ARW,electronics-distributors
AVT,electronics-distributors
LTRX,electronics-distributors
PLUS,electronics-distributors
RCON,electronics-distributors
SCSC,electronics-distributors
SNX,electronics-distributors
TAIT,electronics-distributors
TECD,electronics-distributors
WSTG,electronics-distributors
BBY,electronics-appliance-stores
CONN,electronics-appliance-stores
TWMC,electronics-appliance-stores
ARLO,electronics-appliances
BNSO,electronics-appliances
GNSS,electronics-appliances
GPRO,electronics-appliances
HBB,electronics-appliances
HEAR,electronics-appliances
HELE,electronics-appliances
IRBT,electronics-appliances
KOSS,electronics-appliances
MSN,electronics-appliances
NPK,electronics-appliances
ROKU,electronics-appliances
SNE,electronics-appliances
SPB,electronics-appliances
UEIC,electronics-appliances
VIOT,electronics-appliances
WHR,electronics-appliances
ACM,engineering-construction
AEGN,engineering-construction
AGX,engineering-construction
AMRC,engineering-construction
DY,engineering-construction
EME,engineering-construction
EXPO,engineering-construction
FIX,engineering-construction
FLR,engineering-construction
FTEK,engineering-construction
GLDD,engineering-construction
GRAM,engineering-construction
GV,engineering-construction
GVA,engineering-construction
HIL,engineering-construction
IEA,engineering-construction
IESC,engineering-construction
J  J,engineering-construction
KBR,engineering-construction
MG,engineering-construction
MTRX,engineering-construction
MTZ,engineering-construction
MYRG,engineering-construction
NFE,engineering-construction
ORN,engineering-construction
PECK,engineering-construction
PRIM,engineering-construction
PWR,engineering-construction
RCMT,engineering-construction
ROAD,engineering-construction
STN,engineering-construction
STRL,engineering-construction
TPC,engineering-construction
VSEC,engineering-construction
ADSW,environmental-services
AQUA,environmental-services
AWX,environmental-services
CHRA,environmental-services
CLH,environmental-services
CVA,environmental-services
CWST,environmental-services
ECOL,environmental-services
HCCI,environmental-services
HDSN,environmental-services
JAN,environmental-services
PESI,environmental-services
QRHC,environmental-services
RSG,environmental-services
SMED,environmental-services
SRCL,environmental-services
TTEK,environmental-services
VTNR,environmental-services
WCN,environmental-services
WM,environmental-services
AAN,finance-rental-leasing
ACY,finance-rental-leasing
AER,finance-rental-leasing
AGM,finance-rental-leasing
AGM.,finance-rental-leasing
AHCO,finance-rental-leasing
AIHS,finance-rental-leasing
AL,finance-rental-leasing
ASFI,finance-rental-leasing
ASPS,finance-rental-leasing
ATAX,finance-rental-leasing
ATLC,finance-rental-leasing
AYR,finance-rental-leasing
CACC,finance-rental-leasing
CAI,finance-rental-leasing
CAR,finance-rental-leasing
CNF,finance-rental-leasing
COOP,finance-rental-leasing
CPSS,finance-rental-leasing
CURO,finance-rental-leasing
DXF,finance-rental-leasing
ECPG,finance-rental-leasing
ELVT,finance-rental-leasing
ENVA,finance-rental-leasing
EZPW,finance-rental-leasing
FCFS,finance-rental-leasing
FINV,finance-rental-leasing
FLY,finance-rental-leasing
FPAY,finance-rental-leasing
GATX,finance-rental-leasing
GDOT,finance-rental-leasing
GLG,finance-rental-leasing
GMTA,finance-rental-leasing
GSKY,finance-rental-leasing
GYC,finance-rental-leasing
HEES,finance-rental-leasing
HRI,finance-rental-leasing
HTZ,finance-rental-leasing
HX,finance-rental-leasing
HYRE,finance-rental-leasing
IMH,finance-rental-leasing
